# TStellate_CT1 Optimisation
# Monday 5 November  22:42:01 EST 2012
 
#param.w.x[lsr][ts] = 0.0033	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.0028039	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000122	[1e-07,0.3]
#param.w.x[tv][ts] = 0.000178	[1e-07,0.3]
#param.w.x[glg][ts] = 0.00016	[1e-07,0.3]
#param.ts_gleak = 0.000473539	[5e-05,0.005]
#param.ts_erev = -62.9	[0.03,0.08]
# final error=14.550335
# Time	Error Vec	 Reference Vec (mV)
49.00	-50.672019	-48.454576
49.10	-50.671812	-48.881010
49.20	-50.671605	-49.458393
49.30	-50.671398	-50.649670
49.40	-50.671192	-50.972694
49.50	-50.670985	-51.175472
49.60	-50.670778	-51.244371
49.70	-50.670571	-51.202880
49.80	-50.670365	-51.258790
49.90	-50.670158	-51.059274
50.00	-50.669951	-50.934077
50.10	-50.309264	-50.824673
50.20	-49.600142	-50.635903
50.30	-48.891021	-50.100314
50.40	-48.181899	-49.645431
50.50	-47.472777	-49.600204
50.60	-48.997455	-50.046191
50.70	-49.271883	-50.753487
50.80	-49.546311	-51.178929
50.90	-49.820738	-50.968843
51.00	-50.095166	-50.299531
51.10	-50.369594	-49.778849
51.20	-50.526491	-49.430289
51.30	-50.624796	-49.729843
51.40	-50.723100	-49.365596
51.50	-50.821405	-49.517978
51.60	-50.919710	-49.499434
51.70	-51.018014	-50.148181
51.80	-51.116319	-50.933936
51.90	-51.195037	-51.480898
52.00	-51.232672	-52.123796
52.10	-51.270307	-52.700771
52.20	-51.307942	-53.333134
52.30	-51.345577	-53.731324
52.40	-51.383211	-53.937218
52.50	-51.420846	-53.969547
52.60	-51.458481	-53.853255
52.70	-51.496116	-53.332805
52.80	-51.533751	-52.547938
52.90	-51.571386	-51.929742
53.00	-51.348179	-51.494062
53.10	-50.729467	-51.022569
53.20	-50.962344	-50.748697
53.30	-51.516132	-50.273601
53.40	-52.069919	-50.393204
53.50	-52.623706	-50.119681
53.60	-52.908621	-49.759396
53.70	-53.129774	-49.285464
53.80	-53.350927	-48.978279
53.90	-53.562402	-48.981433
54.00	-53.650776	-49.157074
54.10	-53.739149	-49.149570
54.20	-53.827523	-48.654754
54.30	-53.915896	-48.864113
54.40	-54.004269	-48.525737
54.50	-54.092643	-48.656400
54.60	-54.181016	-48.641071
54.70	-54.269390	-48.635019
54.80	-54.357763	-48.603629
54.90	-54.446137	-49.151763
55.00	-54.534510	-49.672805
55.10	-54.622884	-50.886721
55.20	-54.705144	-51.559289
55.30	-54.767792	-52.305736
55.40	-54.830439	-52.621481
55.50	-54.893086	-52.872340
55.60	-54.955734	-52.473562
